Time(sec)	CellId	BwpId	txStreamId 	IMSI	rxStreamId	pathLoss(dB)
3.025	1	0	0	3	0	-71.5877
3.025	1	0	0	4	0	-70.3369
3.025	1	0	0	5	0	-61.927
3.025	1	0	0	6	0	-73.0854
3.025	1	0	0	7	0	-84.5998
3.025	1	0	0	8	0	-60.9151
3.025	1	0	0	9	0	-61.7209
3.025	1	0	0	10	0	-69.953
3.025	1	0	0	11	0	-72.3059
3.025	1	0	0	12	0	-70.3322
3.025	1	0	0	13	0	-67.1333
3.025	1	0	0	14	0	-71.606
3.025	1	0	0	15	0	-55.6931
3.03	1	0	0	1	0	-76.8842
3.03	1	0	0	2	0	-62.6137
3.03	1	0	0	3	0	-71.5877
3.03	1	0	0	4	0	-70.3369
3.03	1	0	0	5	0	-61.927
3.03	1	0	0	6	0	-73.0854
3.03	1	0	0	7	0	-84.5998
3.03	1	0	0	8	0	-60.9151
3.03	1	0	0	9	0	-61.7209
3.03	1	0	0	10	0	-69.953
3.03	1	0	0	11	0	-72.3059
3.03	1	0	0	12	0	-70.3322
3.03	1	0	0	13	0	-67.1333
3.03	1	0	0	14	0	-71.606
3.03	1	0	0	15	0	-55.6931
3.035	1	0	0	1	0	-76.8842
3.035	1	0	0	2	0	-62.6137
3.035	1	0	0	3	0	-71.5877
3.035	1	0	0	4	0	-70.3369
3.035	1	0	0	5	0	-61.927
3.035	1	0	0	6	0	-73.0854
3.035	1	0	0	7	0	-84.5998
3.035	1	0	0	8	0	-60.9151
3.035	1	0	0	9	0	-61.7209
3.035	1	0	0	10	0	-69.953
3.035	1	0	0	11	0	-72.3059
3.035	1	0	0	12	0	-70.3322
3.035	1	0	0	13	0	-67.1333
3.035	1	0	0	14	0	-71.606
3.035	1	0	0	15	0	-55.6931
3.04	1	0	0	1	0	-76.8842
3.04	1	0	0	2	0	-62.6137
3.04	1	0	0	3	0	-71.5877
3.04	1	0	0	4	0	-70.3369
3.04	1	0	0	5	0	-61.927
3.04	1	0	0	6	0	-73.0854
3.04	1	0	0	7	0	-84.5998
3.04	1	0	0	8	0	-60.9151
3.04	1	0	0	9	0	-61.7209
3.04	1	0	0	10	0	-69.953
3.04	1	0	0	11	0	-72.3059
3.04	1	0	0	12	0	-70.3322
3.04	1	0	0	13	0	-67.1333
3.04	1	0	0	14	0	-71.606
3.04	1	0	0	15	0	-55.6931
3.045	1	0	0	1	0	-76.8842
3.045	1	0	0	2	0	-62.6137
3.045	1	0	0	3	0	-71.5877
3.045	1	0	0	4	0	-70.3369
3.045	1	0	0	5	0	-61.927
3.045	1	0	0	6	0	-73.0854
3.045	1	0	0	7	0	-84.5998
3.045	1	0	0	8	0	-60.9151
3.045	1	0	0	9	0	-61.7209
3.045	1	0	0	10	0	-69.953
3.045	1	0	0	11	0	-72.3059
3.045	1	0	0	12	0	-70.3322
3.045	1	0	0	13	0	-67.1333
3.045	1	0	0	14	0	-71.606
3.045	1	0	0	15	0	-55.6931
3.05	1	0	0	1	0	-76.8842
3.05	1	0	0	2	0	-62.6137
3.05	1	0	0	3	0	-71.5877
3.05	1	0	0	4	0	-70.3369
3.05	1	0	0	5	0	-61.927
3.05	1	0	0	6	0	-73.0854
3.05	1	0	0	7	0	-84.5998
3.05	1	0	0	8	0	-60.9151
3.05	1	0	0	9	0	-61.7209
3.05	1	0	0	10	0	-69.953
3.05	1	0	0	11	0	-72.3059
3.05	1	0	0	12	0	-70.3322
3.05	1	0	0	13	0	-67.1333
3.05	1	0	0	14	0	-71.606
3.05	1	0	0	15	0	-55.6931
3.055	1	0	0	1	0	-76.8842
3.055	1	0	0	2	0	-62.6137
3.055	1	0	0	3	0	-71.5877
3.055	1	0	0	4	0	-70.3369
3.055	1	0	0	5	0	-61.927
3.055	1	0	0	6	0	-73.0854
3.055	1	0	0	7	0	-84.5998
3.055	1	0	0	8	0	-60.9151
3.055	1	0	0	9	0	-61.7209
3.055	1	0	0	10	0	-69.953
3.055	1	0	0	11	0	-72.3059
3.055	1	0	0	12	0	-70.3322
3.055	1	0	0	13	0	-67.1333
3.055	1	0	0	14	0	-71.606
3.055	1	0	0	15	0	-55.6931
3.06	1	0	0	1	0	-76.8842
3.06	1	0	0	2	0	-62.6137
3.06	1	0	0	3	0	-71.5877
3.06	1	0	0	4	0	-70.3369
3.06	1	0	0	5	0	-61.927
3.06	1	0	0	6	0	-73.0854
3.06	1	0	0	7	0	-84.5998
3.06	1	0	0	8	0	-60.9151
3.06	1	0	0	9	0	-61.7209
3.06	1	0	0	10	0	-69.953
3.06	1	0	0	11	0	-72.3059
3.06	1	0	0	12	0	-70.3322
3.06	1	0	0	13	0	-67.1333
3.06	1	0	0	14	0	-71.606
3.06	1	0	0	15	0	-55.6931
3.065	1	0	0	1	0	-76.8842
3.065	1	0	0	2	0	-62.6137
3.065	1	0	0	3	0	-71.5877
3.065	1	0	0	4	0	-70.3369
3.065	1	0	0	5	0	-61.927
3.065	1	0	0	6	0	-73.0854
3.065	1	0	0	7	0	-84.5998
3.065	1	0	0	8	0	-60.9151
3.065	1	0	0	9	0	-61.7209
3.065	1	0	0	10	0	-69.953
3.065	1	0	0	11	0	-72.3059
3.065	1	0	0	12	0	-70.3322
3.065	1	0	0	13	0	-67.1333
3.065	1	0	0	14	0	-71.606
3.065	1	0	0	15	0	-55.6931
3.07	1	0	0	1	0	-76.8842
3.07	1	0	0	2	0	-62.6137
3.07	1	0	0	3	0	-71.5877
3.07	1	0	0	4	0	-70.3369
3.07	1	0	0	5	0	-61.927
3.07	1	0	0	6	0	-73.0854
3.07	1	0	0	7	0	-84.5998
3.07	1	0	0	8	0	-60.9151
3.07	1	0	0	9	0	-61.7209
3.07	1	0	0	10	0	-69.953
3.07	1	0	0	11	0	-72.3059
3.07	1	0	0	12	0	-70.3322
3.07	1	0	0	13	0	-67.1333
3.07	1	0	0	14	0	-71.606
3.07	1	0	0	15	0	-55.6931
3.075	1	0	0	1	0	-76.8842
3.075	1	0	0	2	0	-62.6137
3.075	1	0	0	3	0	-71.5877
3.075	1	0	0	4	0	-70.3369
3.075	1	0	0	5	0	-61.927
3.075	1	0	0	6	0	-73.0854
3.075	1	0	0	7	0	-84.5998
3.075	1	0	0	8	0	-60.9151
3.075	1	0	0	9	0	-61.7209
3.075	1	0	0	10	0	-69.953
3.075	1	0	0	11	0	-72.3059
3.075	1	0	0	12	0	-70.3322
3.075	1	0	0	13	0	-67.1333
3.075	1	0	0	14	0	-71.606
3.075	1	0	0	15	0	-55.6931
3.08	1	0	0	1	0	-76.8842
3.08	1	0	0	2	0	-62.6137
3.08	1	0	0	3	0	-71.5877
3.08	1	0	0	4	0	-70.3369
3.08	1	0	0	5	0	-61.927
3.08	1	0	0	6	0	-73.0854
3.08	1	0	0	7	0	-84.5998
3.08	1	0	0	8	0	-60.9151
3.08	1	0	0	9	0	-61.7209
3.08	1	0	0	10	0	-69.953
3.08	1	0	0	11	0	-72.3059
3.08	1	0	0	12	0	-70.3322
3.08	1	0	0	13	0	-67.1333
3.08	1	0	0	14	0	-71.606
3.08	1	0	0	15	0	-55.6931
3.085	1	0	0	1	0	-76.8842
3.085	1	0	0	2	0	-62.6137
3.085	1	0	0	3	0	-71.5877
3.085	1	0	0	4	0	-70.3369
3.085	1	0	0	5	0	-61.927
3.085	1	0	0	6	0	-73.0854
3.085	1	0	0	7	0	-84.5998
3.085	1	0	0	8	0	-60.9151
3.085	1	0	0	9	0	-61.7209
3.085	1	0	0	10	0	-69.953
3.085	1	0	0	11	0	-72.3059
